Date,Unit,Minimum,Maximum,Average,Market
2015-08-16,Kg,40,50,45.0,Tomato
2019-04-28,Kg,45,50,47.5,Tomato
2017-12-10,Kg,65,70,67.5,Tomato
2016-02-28,Kg,20,25,22.5,Tomato
2018-05-24,Kg,40,45,42.5,Tomato
2014-08-03,Kg,30,34,32.0,Tomato
2018-04-27,Kg,20,25,22.5,Tomato
2018-03-25,Kg,40,45,42.5,Tomato
2018-11-09,Kg,20,25,22.5,Tomato
2017-05-02,Kg,25,30,27.5,Tomato
2016-08-16,Kg,45,55,50.0,Tomato
2015-03-29,Kg,50,52,51.0,Tomato
2021-01-11,Kg,12,18,15.0,Tomato
2014-09-12,Kg,28,32,30.0,Tomato
2015-09-29,Kg,20,25,22.5,Tomato
2020-11-10,Kg,35,42,38.5,Tomato
2016-07-04,Kg,60,70,65.0,Tomato
2020-12-20,Kg,40,50,45.0,Tomato
2015-08-15,Kg,44,50,47.0,Tomato
2019-02-11,Kg,35,40,37.5,Tomato
2019-10-25,Kg,65,75,70.0,Tomato
2020-05-11,Kg,35,40,37.5,Tomato
2018-07-06,Kg,15,20,17.5,Tomato
2018-07-11,Kg,25,30,27.5,Tomato
2017-01-12,Kg,20,30,25.0,Tomato
2019-09-13,Kg,35,40,37.5,Tomato
2014-11-16,Kg,18,22,20.0,Tomato
2015-07-30,Kg,45,55,50.0,Tomato
2017-11-24,Kg,60,65,62.5,Tomato
2015-01-04,Kg,30,36,33.0,Tomato
2018-12-26,Kg,15,20,17.5,Tomato
2016-02-08,Kg,25,30,27.5,Tomato
2018-05-01,Kg,25,30,27.5,Tomato
2019-07-28,Kg,42,50,46.0,Tomato
2020-08-23,Kg,60,65,62.5,Tomato
2016-03-08,Kg,25,28,26.5,Tomato
2013-10-11,Kg,75,80,77.5,Tomato
2015-02-22,Kg,14,18,16.0,Tomato
2014-05-30,Kg,20,25,22.5,Tomato
2015-02-25,Kg,14,18,16.0,Tomato
2017-11-22,Kg,50,55,52.5,Tomato
2019-12-18,Kg,35,40,37.5,Tomato
2020-02-01,Kg,15,20,17.5,Tomato
2020-12-01,Kg,45,55,50.0,Tomato
2019-09-28,Kg,30,35,32.5,Tomato
2018-09-11,Kg,45,50,47.5,Tomato
2016-10-14,Kg,50,60,55.0,Tomato
2017-11-19,Kg,50,60,55.0,Tomato
2017-06-20,Kg,30,36,33.0,Tomato
2016-05-22,Kg,70,80,75.0,Tomato
2017-05-06,Kg,25,30,27.5,Tomato
2016-03-26,Kg,37,42,39.5,Tomato
2017-11-13,Kg,65,70,67.5,Tomato
2015-01-02,Kg,35,40,37.5,Tomato
2017-02-13,Kg,15,20,17.5,Tomato
2020-12-14,Kg,35,45,40.0,Tomato
2015-10-11,Kg,20,25,22.5,Tomato
2014-08-14,Kg,25,28,26.5,Tomato
2016-11-07,Kg,30,40,35.0,Tomato
2015-08-14,Kg,45,55,50.0,Tomato
2016-10-22,Kg,50,55,52.5,Tomato
2017-03-30,Kg,30,35,32.5,Tomato
2015-05-14,Kg,35,40,37.5,Tomato
2013-11-28,Kg,55,60,57.5,Tomato
2015-11-27,Kg,60,70,65.0,Tomato
2015-04-07,Kg,25,30,27.5,Tomato
2014-12-08,Kg,30,35,32.5,Tomato
2013-10-13,Kg,65,75,70.0,Tomato
2015-12-29,Kg,40,50,45.0,Tomato
2018-11-17,Kg,17,25,21.0,Tomato
2013-12-02,Kg,45,50,47.5,Tomato
2021-03-12,Kg,20,25,22.5,Tomato
2016-11-24,Kg,25,35,30.0,Tomato
2019-05-03,Kg,60,65,62.5,Tomato
2017-07-16,Kg,27,35,31.0,Tomato
2017-04-22,Kg,30,35,32.5,Tomato
2015-04-05,Kg,30,35,32.5,Tomato
2017-03-31,Kg,30,35,32.5,Tomato
2019-10-03,Kg,40,45,42.5,Tomato
2019-03-22,Kg,45,50,47.5,Tomato
2016-07-11,Kg,70,80,75.0,Tomato
2014-08-22,Kg,50,55,52.5,Tomato
2016-06-11,Kg,40,55,47.5,Tomato
2016-04-14,Kg,25,30,27.5,Tomato
2015-06-08,Kg,45,50,47.5,Tomato
2016-12-11,Kg,30,40,35.0,Tomato
2017-08-27,Kg,40,45,42.5,Tomato
2015-04-28,Kg,50,55,52.5,Tomato
2020-09-26,Kg,75,80,77.5,Tomato
2014-02-04,Kg,30,35,32.5,Tomato
2015-11-17,Kg,45,55,50.0,Tomato
2014-04-23,Kg,32,36,34.0,Tomato
2020-11-14,Kg,35,40,37.5,Tomato
2014-09-14,Kg,30,35,32.5,Tomato
2015-12-30,Kg,40,45,42.5,Tomato
2015-09-17,Kg,25,30,27.5,Tomato
2015-07-19,Kg,50,60,55.0,Tomato
2018-05-07,Kg,20,25,22.5,Tomato
2016-11-25,Kg,30,40,35.0,Tomato
2013-07-17,Kg,46,52,49.0,Tomato
2016-02-05,Kg,25,30,27.5,Tomato
2018-09-02,Kg,40,45,42.5,Tomato
2018-04-25,Kg,20,25,22.5,Tomato
2015-02-14,Kg,15,18,16.5,Tomato
2019-06-13,Kg,45,50,47.5,Tomato
2018-12-18,Kg,15,25,20.0,Tomato
2015-10-31,Kg,24,35,29.5,Tomato
2021-04-13,Kg,20,25,22.5,Tomato
2021-02-18,Kg,15,20,17.5,Tomato
2021-05-12,Kg,30,35,32.5,Tomato
2016-11-30,Kg,30,40,35.0,Tomato
2020-07-31,Kg,45,50,47.5,Tomato
2018-06-23,Kg,40,45,42.5,Tomato
2016-04-29,Kg,45,50,47.5,Tomato
2017-04-17,Kg,30,35,32.5,Tomato
2015-01-20,Kg,25,30,27.5,Tomato
2014-04-16,Kg,38,42,40.0,Tomato
2018-01-01,Kg,20,25,22.5,Tomato
2020-09-22,Kg,80,90,85.0,Tomato
2015-11-07,Kg,44,55,49.5,Tomato
2019-07-23,Kg,50,60,55.0,Tomato
2015-07-11,Kg,50,60,55.0,Tomato
2018-07-19,Kg,20,25,22.5,Tomato
2016-11-22,Kg,25,35,30.0,Tomato
2016-04-20,Kg,15,20,17.5,Tomato
2015-06-11,Kg,50,55,52.5,Tomato
2015-10-04,Kg,20,25,22.5,Tomato
2016-04-06,Kg,25,30,27.5,Tomato
2018-08-27,Kg,18,25,21.5,Tomato
2019-02-27,Kg,30,35,32.5,Tomato
2020-03-19,Kg,35,40,37.5,Tomato
2017-01-23,Kg,20,30,25.0,Tomato
2018-10-08,Kg,60,70,65.0,Tomato
2018-08-21,Kg,25,30,27.5,Tomato
2014-12-04,Kg,28,30,29.0,Tomato
2016-12-01,Kg,25,35,30.0,Tomato
2014-03-07,Kg,45,50,47.5,Tomato
2019-08-08,Kg,60,65,62.5,Tomato
2013-07-25,Kg,40,45,42.5,Tomato
2014-05-15,Kg,20,25,22.5,Tomato
2013-12-03,Kg,40,50,45.0,Tomato
2017-08-29,Kg,38,43,40.5,Tomato
2019-02-06,Kg,15,20,17.5,Tomato
2018-05-30,Kg,44,50,47.0,Tomato
2016-03-23,Kg,40,45,42.5,Tomato
2014-01-22,Kg,15,20,17.5,Tomato
2018-10-20,Kg,40,48,44.0,Tomato
2017-11-01,Kg,95,100,97.5,Tomato
2017-05-08,Kg,25,30,27.5,Tomato
2014-01-17,Kg,28,34,31.0,Tomato
2020-08-12,Kg,25,30,27.5,Tomato
2015-08-05,Kg,50,60,55.0,Tomato
2019-04-20,Kg,40,45,42.5,Tomato
2017-06-04,Kg,45,50,47.5,Tomato
2014-12-07,Kg,30,34,32.0,Tomato
2016-09-06,Kg,40,50,45.0,Tomato
2019-04-22,Kg,40,45,42.5,Tomato
2019-08-24,Kg,70,75,72.5,Tomato
2017-04-12,Kg,20,28,24.0,Tomato
2017-01-26,Kg,15,25,20.0,Tomato
2013-11-20,Kg,60,70,65.0,Tomato
2016-02-06,Kg,25,30,27.5,Tomato
2017-09-30,Kg,45,50,47.5,Tomato
2016-05-21,Kg,60,70,65.0,Tomato
2019-05-31,Kg,65,75,70.0,Tomato
2019-11-01,Kg,80,90,85.0,Tomato
2017-06-25,Kg,30,35,32.5,Tomato
2016-06-25,Kg,30,40,35.0,Tomato
2017-07-03,Kg,24,28,26.0,Tomato
2019-10-15,Kg,33,38,35.5,Tomato
2020-05-29,Kg,20,25,22.5,Tomato
2014-02-26,Kg,28,34,31.0,Tomato
2015-07-02,Kg,40,50,45.0,Tomato
2014-02-08,Kg,32,36,34.0,Tomato
2014-12-05,Kg,28,32,30.0,Tomato
2016-03-17,Kg,30,40,35.0,Tomato
2015-11-16,Kg,55,65,60.0,Tomato
2017-01-14,Kg,20,25,22.5,Tomato
2018-06-29,Kg,18,20,19.0,Tomato
2019-08-13,Kg,60,70,65.0,Tomato
2018-12-27,Kg,15,20,17.5,Tomato
2019-02-24,Kg,30,35,32.5,Tomato
2018-05-08,Kg,20,25,22.5,Tomato
2015-11-11,Kg,60,70,65.0,Tomato
2019-12-03,Kg,30,35,32.5,Tomato
2020-03-08,Kg,30,35,32.5,Tomato
2015-12-25,Kg,45,52,48.5,Tomato
2018-10-02,Kg,46,52,49.0,Tomato
2014-06-03,Kg,30,35,32.5,Tomato
2020-02-12,Kg,10,15,12.5,Tomato
2013-07-09,Kg,20,25,22.5,Tomato
2020-10-30,Kg,45,50,47.5,Tomato
2019-08-28,Kg,50,55,52.5,Tomato
2020-08-13,Kg,25,30,27.5,Tomato
2019-10-13,Kg,25,30,27.5,Tomato
2020-10-27,Kg,70,80,75.0,Tomato
2018-05-25,Kg,40,45,42.5,Tomato
2018-02-14,Kg,20,25,22.5,Tomato
2017-08-16,Kg,70,75,72.5,Tomato
2019-06-16,Kg,35,40,37.5,Tomato
2017-02-03,Kg,15,25,20.0,Tomato
2020-01-20,Kg,25,30,27.5,Tomato
2016-12-26,Kg,25,35,30.0,Tomato
2019-01-04,Kg,20,25,22.5,Tomato
2015-09-04,Kg,30,35,32.5,Tomato
2016-05-31,Kg,60,70,65.0,Tomato
2015-06-10,Kg,40,45,42.5,Tomato
2017-08-19,Kg,75,80,77.5,Tomato
2021-04-22,Kg,10,15,12.5,Tomato
2020-09-03,Kg,50,60,55.0,Tomato
2015-08-27,Kg,50,60,55.0,Tomato
2014-11-15,Kg,18,22,20.0,Tomato
2015-05-19,Kg,30,35,32.5,Tomato
2017-05-19,Kg,45,50,47.5,Tomato
2020-07-18,Kg,13,18,15.5,Tomato
2017-10-30,Kg,70,75,72.5,Tomato
2020-02-15,Kg,20,25,22.5,Tomato
2020-12-05,Kg,45,55,50.0,Tomato
2015-04-17,Kg,30,35,32.5,Tomato
2020-11-26,Kg,40,50,45.0,Tomato
2016-06-19,Kg,40,50,45.0,Tomato
2013-09-24,Kg,30,35,32.5,Tomato
2014-02-12,Kg,25,30,27.5,Tomato
2017-11-28,Kg,60,65,62.5,Tomato
2016-10-24,Kg,60,70,65.0,Tomato
2019-01-15,Kg,30,35,32.5,Tomato
2017-09-15,Kg,35,45,40.0,Tomato
2015-01-11,Kg,20,25,22.5,Tomato
2018-09-29,Kg,40,45,42.5,Tomato
2013-06-17,Kg,20,25,22.5,Tomato
2014-08-05,Kg,28,32,30.0,Tomato
2019-07-09,Kg,35,40,37.5,Tomato
2018-11-20,Kg,18,25,21.5,Tomato
2015-07-05,Kg,40,50,45.0,Tomato
2014-09-19,Kg,50,60,55.0,Tomato
2016-11-21,Kg,25,35,30.0,Tomato
2019-09-24,Kg,50,55,52.5,Tomato
2020-01-05,Kg,40,50,45.0,Tomato
2016-07-13,Kg,60,70,65.0,Tomato
2014-07-08,Kg,12,16,14.0,Tomato
2020-06-15,Kg,25,30,27.5,Tomato
2015-10-19,Kg,15,25,20.0,Tomato
2014-03-26,Kg,42,48,45.0,Tomato
2018-04-06,Kg,30,35,32.5,Tomato
2015-07-08,Kg,50,60,55.0,Tomato
2017-07-23,Kg,30,35,32.5,Tomato
2020-03-14,Kg,30,35,32.5,Tomato
2016-08-24,Kg,45,50,47.5,Tomato
2013-10-07,Kg,60,70,65.0,Tomato
2016-06-05,Kg,60,70,65.0,Tomato
2013-10-20,Kg,30,35,32.5,Tomato
2013-07-01,Kg,15,20,17.5,Tomato
2014-08-27,Kg,58,64,61.0,Tomato
2021-02-15,Kg,15,20,17.5,Tomato
2018-04-28,Kg,22,26,24.0,Tomato
2014-02-25,Kg,30,35,32.5,Tomato
2017-10-04,Kg,20,25,22.5,Tomato
2021-01-27,Kg,20,25,22.5,Tomato
2017-05-25,Kg,30,35,32.5,Tomato
2016-04-25,Kg,30,40,35.0,Tomato
2018-10-11,Kg,60,70,65.0,Tomato
2018-11-18,Kg,15,25,20.0,Tomato
2018-03-12,Kg,25,30,27.5,Tomato
2021-02-12,Kg,12,16,14.0,Tomato
2018-04-29,Kg,20,25,22.5,Tomato
2020-01-31,Kg,20,25,22.5,Tomato
2016-08-15,Kg,45,55,50.0,Tomato
2016-01-21,Kg,15,20,17.5,Tomato
2018-12-08,Kg,18,24,21.0,Tomato
2014-12-10,Kg,30,34,32.0,Tomato
2018-03-16,Kg,25,30,27.5,Tomato
2019-11-25,Kg,25,35,30.0,Tomato
2020-10-21,Kg,70,80,75.0,Tomato
2017-11-23,Kg,55,60,57.5,Tomato
2014-04-02,Kg,36,45,40.5,Tomato
2019-12-06,Kg,45,50,47.5,Tomato
2020-09-09,Kg,40,45,42.5,Tomato
2015-08-13,Kg,50,60,55.0,Tomato
2013-11-11,Kg,50,60,55.0,Tomato
2018-05-02,Kg,30,35,32.5,Tomato
2019-04-06,Kg,35,40,37.5,Tomato
2016-07-02,Kg,65,70,67.5,Tomato
2018-04-13,Kg,35,40,37.5,Tomato
2018-03-05,Kg,30,35,32.5,Tomato
2017-06-26,Kg,30,35,32.5,Tomato
2016-02-10,Kg,20,30,25.0,Tomato
2020-05-06,Kg,30,35,32.5,Tomato
2016-02-27,Kg,20,24,22.0,Tomato
2014-02-03,Kg,30,35,32.5,Tomato
2014-10-31,Kg,28,34,31.0,Tomato
2014-11-08,Kg,30,35,32.5,Tomato
2019-01-24,Kg,15,20,17.5,Tomato
2013-06-19,Kg,24,28,26.0,Tomato
2018-01-14,Kg,45,50,47.5,Tomato
2020-03-11,Kg,25,30,27.5,Tomato
2020-11-27,Kg,45,55,50.0,Tomato
2018-12-28,Kg,15,20,17.5,Tomato
2018-05-15,Kg,40,45,42.5,Tomato
2019-03-24,Kg,55,60,57.5,Tomato
2020-10-14,Kg,60,70,65.0,Tomato
2020-01-09,Kg,20,30,25.0,Tomato
2020-05-27,Kg,15,20,17.5,Tomato
2019-02-17,Kg,20,25,22.5,Tomato
2019-04-18,Kg,35,40,37.5,Tomato
2014-07-30,Kg,30,35,32.5,Tomato
2018-03-22,Kg,50,55,52.5,Tomato
2016-07-18,Kg,55,60,57.5,Tomato
2020-06-17,Kg,20,25,22.5,Tomato
2018-07-16,Kg,15,20,17.5,Tomato
2020-07-22,Kg,15,20,17.5,Tomato
2018-11-28,Kg,16,24,20.0,Tomato
2017-08-20,Kg,75,80,77.5,Tomato
2014-05-27,Kg,20,25,22.5,Tomato
2017-04-24,Kg,30,35,32.5,Tomato
2016-02-03,Kg,20,30,25.0,Tomato
2017-04-18,Kg,30,35,32.5,Tomato
2019-06-08,Kg,45,50,47.5,Tomato
2017-08-31,Kg,35,40,37.5,Tomato
2018-11-24,Kg,18,20,19.0,Tomato
2015-11-21,Kg,50,56,53.0,Tomato
2014-08-15,Kg,28,32,30.0,Tomato
2019-08-23,Kg,70,80,75.0,Tomato
2018-12-30,Kg,15,20,17.5,Tomato
2020-08-29,Kg,75,80,77.5,Tomato
2020-03-30,Kg,80,85,82.5,Tomato
2017-10-06,Kg,23,26,24.5,Tomato
2018-08-23,Kg,20,25,22.5,Tomato
2019-09-02,Kg,40,46,43.0,Tomato
2015-06-04,Kg,55,60,57.5,Tomato
2016-06-24,Kg,40,50,45.0,Tomato
2020-02-14,Kg,20,25,22.5,Tomato
2015-02-16,Kg,15,20,17.5,Tomato
2013-12-10,Kg,30,35,32.5,Tomato
2018-08-04,Kg,20,25,22.5,Tomato
2019-03-30,Kg,35,40,37.5,Tomato
2017-12-15,Kg,40,45,42.5,Tomato
2017-09-23,Kg,70,80,75.0,Tomato
2014-01-07,Kg,26,32,29.0,Tomato
2014-10-13,Kg,35,40,37.5,Tomato
2016-11-14,Kg,30,40,35.0,Tomato
2014-06-20,Kg,14,20,17.0,Tomato
2016-01-02,Kg,35,44,39.5,Tomato
2017-08-14,Kg,70,75,72.5,Tomato
2015-09-01,Kg,35,40,37.5,Tomato
2021-01-16,Kg,20,30,25.0,Tomato
2016-06-17,Kg,40,50,45.0,Tomato
2015-05-02,Kg,25,30,27.5,Tomato
2015-01-19,Kg,25,30,27.5,Tomato
2021-03-15,Kg,25,30,27.5,Tomato
2017-01-03,Kg,20,30,25.0,Tomato
2019-01-20,Kg,20,25,22.5,Tomato
2016-10-12,Kg,60,70,65.0,Tomato
2015-03-19,Kg,50,60,55.0,Tomato
2019-04-23,Kg,40,45,42.5,Tomato
2017-06-23,Kg,30,35,32.5,Tomato
2020-06-03,Kg,15,20,17.5,Tomato
2017-05-27,Kg,30,35,32.5,Tomato
2013-07-18,Kg,40,45,42.5,Tomato
2013-10-14,Kg,65,75,70.0,Tomato
2013-10-23,Kg,30,35,32.5,Tomato
2015-06-24,Kg,40,45,42.5,Tomato
2014-12-11,Kg,25,30,27.5,Tomato
2018-04-23,Kg,20,25,22.5,Tomato
2019-12-22,Kg,30,40,35.0,Tomato
2014-09-08,Kg,25,30,27.5,Tomato
2020-06-18,Kg,22,25,23.5,Tomato
2020-08-25,Kg,50,60,55.0,Tomato
2020-12-09,Kg,50,55,52.5,Tomato
2014-11-12,Kg,18,24,21.0,Tomato
2018-01-07,Kg,25,30,27.5,Tomato
2015-08-06,Kg,60,70,65.0,Tomato
2013-06-27,Kg,18,24,21.0,Tomato
2017-09-12,Kg,35,40,37.5,Tomato
2018-10-17,Kg,45,52,48.5,Tomato
2016-07-22,Kg,55,65,60.0,Tomato
2014-09-07,Kg,22,30,26.0,Tomato
2021-01-26,Kg,18,22,20.0,Tomato
2015-08-24,Kg,35,40,37.5,Tomato
2014-10-25,Kg,36,58,47.0,Tomato
2019-04-24,Kg,38,43,40.5,Tomato
2019-07-21,Kg,65,70,67.5,Tomato
2019-02-12,Kg,25,35,30.0,Tomato
2014-04-07,Kg,40,45,42.5,Tomato
2018-05-18,Kg,25,30,27.5,Tomato
2014-01-02,Kg,30,35,32.5,Tomato
2017-04-25,Kg,25,30,27.5,Tomato
2018-06-17,Kg,30,35,32.5,Tomato
2013-08-04,Kg,25,30,27.5,Tomato
2019-02-08,Kg,20,25,22.5,Tomato
2019-04-17,Kg,30,35,32.5,Tomato
2016-02-15,Kg,25,30,27.5,Tomato
2015-05-08,Kg,50,60,55.0,Tomato
2017-05-18,Kg,40,45,42.5,Tomato
2019-02-03,Kg,15,20,17.5,Tomato
2017-03-22,Kg,25,30,27.5,Tomato
2020-07-27,Kg,35,40,37.5,Tomato
2018-10-21,Kg,35,40,37.5,Tomato
2014-10-08,Kg,30,35,32.5,Tomato
2021-01-09,Kg,15,25,20.0,Tomato
2014-05-18,Kg,25,30,27.5,Tomato
2015-11-30,Kg,50,60,55.0,Tomato
2019-01-27,Kg,15,20,17.5,Tomato
2018-07-18,Kg,20,25,22.5,Tomato
2018-08-09,Kg,35,40,37.5,Tomato
2020-10-18,Kg,60,65,62.5,Tomato
2018-06-15,Kg,30,35,32.5,Tomato
2013-08-14,Kg,25,30,27.5,Tomato
2016-11-26,Kg,35,40,37.5,Tomato
2013-08-18,Kg,30,35,32.5,Tomato
2018-04-08,Kg,28,33,30.5,Tomato
2015-08-04,Kg,50,60,55.0,Tomato
2017-12-04,Kg,70,75,72.5,Tomato
2020-05-12,Kg,35,40,37.5,Tomato
2015-06-26,Kg,35,40,37.5,Tomato
2017-12-02,Kg,55,60,57.5,Tomato
2019-01-08,Kg,30,35,32.5,Tomato
2020-01-26,Kg,20,25,22.5,Tomato
2014-06-27,Kg,22,28,25.0,Tomato
2020-08-15,Kg,25,30,27.5,Tomato
2018-10-27,Kg,25,30,27.5,Tomato
2016-03-18,Kg,35,40,37.5,Tomato
2018-06-21,Kg,35,40,37.5,Tomato
2014-07-06,Kg,14,16,15.0,Tomato
2018-09-13,Kg,35,40,37.5,Tomato
2016-06-15,Kg,35,40,37.5,Tomato
2021-04-28,Kg,15,20,17.5,Tomato
2018-02-10,Kg,18,20,19.0,Tomato
2017-02-14,Kg,15,20,17.5,Tomato
2015-06-27,Kg,30,50,40.0,Tomato
2016-05-06,Kg,60,65,62.5,Tomato
2018-05-28,Kg,40,45,42.5,Tomato
2014-03-14,Kg,52,58,55.0,Tomato
2020-11-20,Kg,40,45,42.5,Tomato
2019-05-10,Kg,65,70,67.5,Tomato
2015-05-12,Kg,40,45,42.5,Tomato
2019-02-16,Kg,25,30,27.5,Tomato
2020-03-27,Kg,65,70,67.5,Tomato
2016-04-18,Kg,15,20,17.5,Tomato
2019-11-13,Kg,35,45,40.0,Tomato
2014-08-12,Kg,24,28,26.0,Tomato
2019-12-16,Kg,35,45,40.0,Tomato
2016-10-08,Kg,60,70,65.0,Tomato
2020-10-13,Kg,75,80,77.5,Tomato
2019-04-19,Kg,35,40,37.5,Tomato
2018-09-16,Kg,30,34,32.0,Tomato
2020-12-15,Kg,35,45,40.0,Tomato
2018-01-11,Kg,30,35,32.5,Tomato
2018-01-06,Kg,35,40,37.5,Tomato
2017-11-15,Kg,70,75,72.5,Tomato
2014-03-28,Kg,40,45,42.5,Tomato
2016-09-10,Kg,38,45,41.5,Tomato
2019-03-16,Kg,55,60,57.5,Tomato
2014-04-06,Kg,40,46,43.0,Tomato
2018-03-31,Kg,30,35,32.5,Tomato
2021-04-07,Kg,30,40,35.0,Tomato
2018-10-22,Kg,20,30,25.0,Tomato
2015-05-10,Kg,50,55,52.5,Tomato
2020-01-13,Kg,40,45,42.5,Tomato
2016-01-10,Kg,15,20,17.5,Tomato
2017-04-01,Kg,30,35,32.5,Tomato
2021-04-30,Kg,20,25,22.5,Tomato
2016-01-03,Kg,30,40,35.0,Tomato
2017-10-21,Kg,65,70,67.5,Tomato
2017-09-06,Kg,45,50,47.5,Tomato
2014-10-23,Kg,50,58,54.0,Tomato
2017-07-25,Kg,30,35,32.5,Tomato
2020-10-22,Kg,75,85,80.0,Tomato
2016-03-15,Kg,35,40,37.5,Tomato
2015-10-21,Kg,20,30,25.0,Tomato
2017-01-28,Kg,20,25,22.5,Tomato
2021-02-07,Kg,15,20,17.5,Tomato
2013-08-02,Kg,25,35,30.0,Tomato
2021-02-21,Kg,8,15,11.5,Tomato
2018-12-10,Kg,20,25,22.5,Tomato
2017-12-19,Kg,25,30,27.5,Tomato
2019-06-17,Kg,35,40,37.5,Tomato
2021-03-28,Kg,40,50,45.0,Tomato
2019-04-01,Kg,25,30,27.5,Tomato
2014-09-16,Kg,46,52,49.0,Tomato
2019-08-06,Kg,50,55,52.5,Tomato
2020-08-08,Kg,35,40,37.5,Tomato
2017-10-31,Kg,70,75,72.5,Tomato
2018-07-13,Kg,15,20,17.5,Tomato
2019-10-12,Kg,30,35,32.5,Tomato
2016-09-08,Kg,35,45,40.0,Tomato
2014-06-29,Kg,20,25,22.5,Tomato
2021-01-10,Kg,10,15,12.5,Tomato
2016-06-09,Kg,40,50,45.0,Tomato
2014-05-16,Kg,30,35,32.5,Tomato
2014-01-03,Kg,30,35,32.5,Tomato
2016-06-02,Kg,60,70,65.0,Tomato
2020-11-04,Kg,55,62,58.5,Tomato
2017-07-21,Kg,30,35,32.5,Tomato
2016-01-27,Kg,15,20,17.5,Tomato
2020-11-25,Kg,40,50,45.0,Tomato
2020-09-21,Kg,80,85,82.5,Tomato
2017-03-01,Kg,20,25,22.5,Tomato
2019-12-26,Kg,30,35,32.5,Tomato
2017-10-07,Kg,23,26,24.5,Tomato
2018-06-14,Kg,30,35,32.5,Tomato
2019-01-07,Kg,30,35,32.5,Tomato
2015-02-20,Kg,12,16,14.0,Tomato
2013-09-12,Kg,36,42,39.0,Tomato
2015-03-22,Kg,50,60,55.0,Tomato
2017-12-28,Kg,25,30,27.5,Tomato
2016-12-13,Kg,30,40,35.0,Tomato
2014-07-14,Kg,10,15,12.5,Tomato
2015-12-13,Kg,45,50,47.5,Tomato
2017-11-08,Kg,80,85,82.5,Tomato
2021-02-23,Kg,10,15,12.5,Tomato
2020-02-23,Kg,15,20,17.5,Tomato
2013-11-22,Kg,55,60,57.5,Tomato
2013-09-13,Kg,35,40,37.5,Tomato
2017-10-03,Kg,20,25,22.5,Tomato
2013-12-22,Kg,22,28,25.0,Tomato
2019-02-15,Kg,25,30,27.5,Tomato
2020-08-21,Kg,60,65,62.5,Tomato
2018-04-14,Kg,30,35,32.5,Tomato
2016-04-13,Kg,25,30,27.5,Tomato
2020-10-20,Kg,60,65,62.5,Tomato
2021-03-03,Kg,10,15,12.5,Tomato
2018-08-16,Kg,25,30,27.5,Tomato
2019-04-30,Kg,70,75,72.5,Tomato
2020-03-29,Kg,75,80,77.5,Tomato
2016-02-02,Kg,20,30,25.0,Tomato
2015-08-07,Kg,60,68,64.0,Tomato
2013-09-04,Kg,40,45,42.5,Tomato
2020-12-27,Kg,45,55,50.0,Tomato
2014-05-22,Kg,14,18,16.0,Tomato
2014-12-21,Kg,25,30,27.5,Tomato
2015-05-23,Kg,65,75,70.0,Tomato
2017-10-20,Kg,45,50,47.5,Tomato
2016-06-14,Kg,35,45,40.0,Tomato
2020-04-04,Kg,35,40,37.5,Tomato
2021-04-15,Kg,15,20,17.5,Tomato
2017-10-09,Kg,45,55,50.0,Tomato
2021-03-10,Kg,20,25,22.5,Tomato
2014-02-28,Kg,32,38,35.0,Tomato
2014-08-21,Kg,50,55,52.5,Tomato
2018-01-13,Kg,45,50,47.5,Tomato
2017-10-27,Kg,70,75,72.5,Tomato
2016-09-24,Kg,45,50,47.5,Tomato
2016-10-19,Kg,70,80,75.0,Tomato
2015-09-05,Kg,28,30,29.0,Tomato
2019-08-19,Kg,85,90,87.5,Tomato
2017-07-20,Kg,30,35,32.5,Tomato
2015-06-30,Kg,40,50,45.0,Tomato
2017-01-19,Kg,20,30,25.0,Tomato
2016-01-16,Kg,15,24,19.5,Tomato
2018-02-01,Kg,15,20,17.5,Tomato
2014-05-26,Kg,20,25,22.5,Tomato
2020-01-18,Kg,25,30,27.5,Tomato
2018-12-03,Kg,20,30,25.0,Tomato
2017-05-24,Kg,30,35,32.5,Tomato
2015-12-22,Kg,40,50,45.0,Tomato
2016-11-01,Kg,40,50,45.0,Tomato
2017-06-28,Kg,25,30,27.5,Tomato
2021-05-06,Kg,10,15,12.5,Tomato
2018-10-25,Kg,25,30,27.5,Tomato
2016-08-05,Kg,65,70,67.5,Tomato
2013-08-23,Kg,40,44,42.0,Tomato
2014-07-10,Kg,12,16,14.0,Tomato
2018-09-01,Kg,35,40,37.5,Tomato
2018-03-29,Kg,30,35,32.5,Tomato
2020-04-22,Kg,20,25,22.5,Tomato
2016-08-08,Kg,65,70,67.5,Tomato
2015-09-30,Kg,20,30,25.0,Tomato
2014-09-13,Kg,25,28,26.5,Tomato
2019-12-05,Kg,35,45,40.0,Tomato
2019-11-04,Kg,80,90,85.0,Tomato
2013-10-27,Kg,45,50,47.5,Tomato
2017-07-26,Kg,30,35,32.5,Tomato
2019-12-10,Kg,40,50,45.0,Tomato
2020-01-23,Kg,20,25,22.5,Tomato
2019-09-19,Kg,35,40,37.5,Tomato
2015-05-01,Kg,30,35,32.5,Tomato
2020-11-02,Kg,45,55,50.0,Tomato
2018-05-05,Kg,20,25,22.5,Tomato
2018-10-23,Kg,20,25,22.5,Tomato
2017-08-05,Kg,40,50,45.0,Tomato
2016-10-03,Kg,65,70,67.5,Tomato
2018-01-17,Kg,40,45,42.5,Tomato
