Date,Unit,Minimum,Maximum,Average,Market
2018-07-14,Kg,15,20,17.5,Tomato
2014-06-13,Kg,25,30,27.5,Tomato
2017-08-02,Kg,40,50,45.0,Tomato
2015-10-09,Kg,20,25,22.5,Tomato
2016-01-11,Kg,15,20,17.5,Tomato
2019-09-03,Kg,40,47,43.5,Tomato
2015-01-12,Kg,18,22,20.0,Tomato
2019-01-30,Kg,20,25,22.5,Tomato
2016-01-18,Kg,15,20,17.5,Tomato
2014-03-23,Kg,25,30,27.5,Tomato
2016-04-09,Kg,28,35,31.5,Tomato
2016-07-28,Kg,70,80,75.0,Tomato
2019-08-12,Kg,58,65,61.5,Tomato
2017-08-09,Kg,45,50,47.5,Tomato
2018-02-09,Kg,18,22,20.0,Tomato
2020-02-10,Kg,12,20,16.0,Tomato
2019-12-29,Kg,25,30,27.5,Tomato
2016-11-05,Kg,30,40,35.0,Tomato
2020-02-27,Kg,20,25,22.5,Tomato
2021-04-12,Kg,25,35,30.0,Tomato
2019-03-08,Kg,40,45,42.5,Tomato
2020-10-31,Kg,50,55,52.5,Tomato
2021-01-03,Kg,35,40,37.5,Tomato
2015-11-26,Kg,60,70,65.0,Tomato
2019-05-28,Kg,55,65,60.0,Tomato
2015-12-17,Kg,40,50,45.0,Tomato
2020-03-10,Kg,25,30,27.5,Tomato
2017-03-10,Kg,25,30,27.5,Tomato
2020-05-23,Kg,15,20,17.5,Tomato
2018-06-24,Kg,30,35,32.5,Tomato
2013-10-30,Kg,45,50,47.5,Tomato
2014-04-09,Kg,38,42,40.0,Tomato
2014-11-26,Kg,25,30,27.5,Tomato
2021-02-20,Kg,8,15,11.5,Tomato
2013-09-30,Kg,38,42,40.0,Tomato
2015-11-14,Kg,56,68,62.0,Tomato
2020-06-29,Kg,20,25,22.5,Tomato
2018-11-05,Kg,25,30,27.5,Tomato
2020-05-20,Kg,30,35,32.5,Tomato
2020-03-25,Kg,50,60,55.0,Tomato
2016-12-28,Kg,20,30,25.0,Tomato
2016-01-22,Kg,15,20,17.5,Tomato
2017-01-04,Kg,20,30,25.0,Tomato
2017-05-09,Kg,25,30,27.5,Tomato
2015-04-13,Kg,32,35,33.5,Tomato
2019-05-26,Kg,65,75,70.0,Tomato
2019-05-18,Kg,75,80,77.5,Tomato
2017-08-12,Kg,50,55,52.5,Tomato
2015-05-29,Kg,70,75,72.5,Tomato
2018-09-18,Kg,50,55,52.5,Tomato
2017-08-08,Kg,50,55,52.5,Tomato
2016-08-14,Kg,50,55,52.5,Tomato
2016-10-04,Kg,70,80,75.0,Tomato
2020-08-24,Kg,50,60,55.0,Tomato
2016-03-02,Kg,25,30,27.5,Tomato
2017-02-05,Kg,10,20,15.0,Tomato
2018-01-02,Kg,25,30,27.5,Tomato
2018-08-20,Kg,25,30,27.5,Tomato
2019-05-07,Kg,60,65,62.5,Tomato
2020-07-24,Kg,18,22,20.0,Tomato
2018-03-15,Kg,25,30,27.5,Tomato
2014-12-03,Kg,25,30,27.5,Tomato
2015-07-16,Kg,50,60,55.0,Tomato
2018-07-12,Kg,18,22,20.0,Tomato
2019-08-30,Kg,50,55,52.5,Tomato
2019-02-21,Kg,30,35,32.5,Tomato
2020-10-26,Kg,90,100,95.0,Tomato
2017-02-20,Kg,15,20,17.5,Tomato
2019-09-22,Kg,40,50,45.0,Tomato
2018-11-13,Kg,20,25,22.5,Tomato
2016-05-08,Kg,50,60,55.0,Tomato
2020-02-22,Kg,10,15,12.5,Tomato
2019-06-15,Kg,40,45,42.5,Tomato
2018-03-03,Kg,30,35,32.5,Tomato
2017-03-27,Kg,30,35,32.5,Tomato
2018-02-28,Kg,30,35,32.5,Tomato
2020-09-23,Kg,80,85,82.5,Tomato
2019-03-18,Kg,50,55,52.5,Tomato
2014-10-21,Kg,50,55,52.5,Tomato
2015-09-28,Kg,20,30,25.0,Tomato
2016-09-20,Kg,45,55,50.0,Tomato
2016-12-14,Kg,30,35,32.5,Tomato
2019-10-22,Kg,50,60,55.0,Tomato
2019-04-29,Kg,55,60,57.5,Tomato
2016-11-02,Kg,35,45,40.0,Tomato
2016-02-09,Kg,20,25,22.5,Tomato
2015-06-23,Kg,34,38,36.0,Tomato
2019-02-09,Kg,25,30,27.5,Tomato
2014-06-26,Kg,18,24,21.0,Tomato
2019-05-23,Kg,75,85,80.0,Tomato
2014-02-14,Kg,25,30,27.5,Tomato
2015-12-21,Kg,40,50,45.0,Tomato
2016-11-08,Kg,30,40,35.0,Tomato
2015-02-07,Kg,16,20,18.0,Tomato
2015-06-06,Kg,55,70,62.5,Tomato
2018-03-11,Kg,25,30,27.5,Tomato
2016-03-20,Kg,40,45,42.5,Tomato
2013-08-20,Kg,38,42,40.0,Tomato
2014-02-18,Kg,30,35,32.5,Tomato
2016-03-19,Kg,38,40,39.0,Tomato
2018-05-16,Kg,35,40,37.5,Tomato
2020-07-17,Kg,12,18,15.0,Tomato
2015-11-03,Kg,25,30,27.5,Tomato
2017-07-04,Kg,20,25,22.5,Tomato
2019-04-13,Kg,32,38,35.0,Tomato
2014-07-09,Kg,12,16,14.0,Tomato
2018-11-10,Kg,20,25,22.5,Tomato
2020-01-30,Kg,15,25,20.0,Tomato
2018-01-19,Kg,35,40,37.5,Tomato
2017-01-11,Kg,25,30,27.5,Tomato
2016-07-14,Kg,65,70,67.5,Tomato
2021-05-01,Kg,20,25,22.5,Tomato
2016-05-17,Kg,50,60,55.0,Tomato
2017-04-02,Kg,25,30,27.5,Tomato
2019-02-28,Kg,30,35,32.5,Tomato
2015-09-06,Kg,30,35,32.5,Tomato
2020-12-22,Kg,40,50,45.0,Tomato
2017-02-10,Kg,15,20,17.5,Tomato
2015-06-03,Kg,55,60,57.5,Tomato
2018-02-13,Kg,15,20,17.5,Tomato
2018-02-12,Kg,15,20,17.5,Tomato
2017-12-31,Kg,20,25,22.5,Tomato
2017-09-11,Kg,45,50,47.5,Tomato
2019-08-11,Kg,58,65,61.5,Tomato
2020-06-26,Kg,25,30,27.5,Tomato
2014-01-27,Kg,18,22,20.0,Tomato
2014-12-02,Kg,25,30,27.5,Tomato
2018-08-02,Kg,20,25,22.5,Tomato
2020-03-05,Kg,25,30,27.5,Tomato
2020-04-07,Kg,45,50,47.5,Tomato
2013-10-24,Kg,35,40,37.5,Tomato
2014-03-31,Kg,35,45,40.0,Tomato
2016-09-05,Kg,45,55,50.0,Tomato
2013-10-31,Kg,45,50,47.5,Tomato
2015-09-12,Kg,24,28,26.0,Tomato
2020-09-20,Kg,85,90,87.5,Tomato
2018-11-26,Kg,16,22,19.0,Tomato
2021-02-06,Kg,15,20,17.5,Tomato
2014-07-02,Kg,14,18,16.0,Tomato
2018-10-10,Kg,65,70,67.5,Tomato
2019-10-08,Kg,65,70,67.5,Tomato
2015-07-20,Kg,50,60,55.0,Tomato
2015-03-02,Kg,16,20,18.0,Tomato
2017-11-20,Kg,45,50,47.5,Tomato
2020-03-17,Kg,35,40,37.5,Tomato
2017-04-30,Kg,25,30,27.5,Tomato
2018-10-19,Kg,50,58,54.0,Tomato
2017-11-17,Kg,60,65,62.5,Tomato
2017-02-08,Kg,15,25,20.0,Tomato
2015-05-13,Kg,35,40,37.5,Tomato
2019-01-02,Kg,20,25,22.5,Tomato
2017-09-09,Kg,45,50,47.5,Tomato
2018-02-23,Kg,20,25,22.5,Tomato
2014-06-05,Kg,44,48,46.0,Tomato
2016-10-27,Kg,40,50,45.0,Tomato
2015-12-04,Kg,45,50,47.5,Tomato
2018-12-24,Kg,15,20,17.5,Tomato
2015-01-16,Kg,28,32,30.0,Tomato
2014-03-06,Kg,45,50,47.5,Tomato
2021-05-13,Kg,35,40,37.5,Tomato
2021-05-11,Kg,10,15,12.5,Tomato
2016-04-04,Kg,25,30,27.5,Tomato
2019-06-22,Kg,15,20,17.5,Tomato
2017-04-28,Kg,25,30,27.5,Tomato
2018-09-03,Kg,43,47,45.0,Tomato
2021-02-27,Kg,15,20,17.5,Tomato
2017-02-04,Kg,15,24,19.5,Tomato
2016-09-17,Kg,45,50,47.5,Tomato
2020-12-29,Kg,45,50,47.5,Tomato
2015-03-20,Kg,50,60,55.0,Tomato
2017-06-07,Kg,60,65,62.5,Tomato
2020-05-18,Kg,40,45,42.5,Tomato
2018-11-21,Kg,18,25,21.5,Tomato
2015-12-10,Kg,45,50,47.5,Tomato
2017-06-15,Kg,40,45,42.5,Tomato
2018-04-03,Kg,40,45,42.5,Tomato
2019-06-11,Kg,40,45,42.5,Tomato
2013-11-16,Kg,60,70,65.0,Tomato
2018-01-30,Kg,15,20,17.5,Tomato
2013-12-06,Kg,25,30,27.5,Tomato
2016-11-10,Kg,30,40,35.0,Tomato
2016-12-12,Kg,30,40,35.0,Tomato
2014-08-09,Kg,24,28,26.0,Tomato
2015-03-25,Kg,45,50,47.5,Tomato
2020-09-05,Kg,50,60,55.0,Tomato
2017-06-13,Kg,45,50,47.5,Tomato
2015-06-28,Kg,40,45,42.5,Tomato
2015-05-15,Kg,30,40,35.0,Tomato
2018-12-14,Kg,20,25,22.5,Tomato
2020-05-26,Kg,15,20,17.5,Tomato
2020-10-16,Kg,65,70,67.5,Tomato
2015-12-20,Kg,40,50,45.0,Tomato
2014-01-20,Kg,20,25,22.5,Tomato
2019-03-03,Kg,35,40,37.5,Tomato
2014-09-11,Kg,25,30,27.5,Tomato
2016-04-30,Kg,40,45,42.5,Tomato
2020-08-01,Kg,40,45,42.5,Tomato
2020-10-05,Kg,35,40,37.5,Tomato
2017-08-10,Kg,45,50,47.5,Tomato
2015-03-10,Kg,16,20,18.0,Tomato
2018-05-03,Kg,25,30,27.5,Tomato
2019-11-28,Kg,20,25,22.5,Tomato
2013-07-28,Kg,40,45,42.5,Tomato
2014-02-24,Kg,32,36,34.0,Tomato
2020-05-13,Kg,35,40,37.5,Tomato
2014-04-04,Kg,38,45,41.5,Tomato
2017-07-22,Kg,30,35,32.5,Tomato
2015-09-16,Kg,25,35,30.0,Tomato
2019-05-05,Kg,65,70,67.5,Tomato
2018-09-15,Kg,30,35,32.5,Tomato
2014-08-20,Kg,42,46,44.0,Tomato
2015-09-07,Kg,28,35,31.5,Tomato
2018-10-31,Kg,35,45,40.0,Tomato
2021-03-06,Kg,15,20,17.5,Tomato
2017-04-07,Kg,30,35,32.5,Tomato
2017-01-06,Kg,20,30,25.0,Tomato
2020-08-31,Kg,65,70,67.5,Tomato
2015-01-15,Kg,25,30,27.5,Tomato
2018-04-02,Kg,40,45,42.5,Tomato
2016-04-27,Kg,35,45,40.0,Tomato
2016-05-28,Kg,60,70,65.0,Tomato
2020-05-25,Kg,15,20,17.5,Tomato
2017-08-17,Kg,70,80,75.0,Tomato
2020-09-17,Kg,90,100,95.0,Tomato
2019-08-10,Kg,58,65,61.5,Tomato
2018-07-21,Kg,15,20,17.5,Tomato
2021-04-09,Kg,30,40,35.0,Tomato
2015-02-05,Kg,14,18,16.0,Tomato
2014-06-19,Kg,14,18,16.0,Tomato
2019-08-04,Kg,55,60,57.5,Tomato
2020-06-12,Kg,25,30,27.5,Tomato
2017-09-14,Kg,35,40,37.5,Tomato
2020-03-02,Kg,25,30,27.5,Tomato
2016-11-20,Kg,25,35,30.0,Tomato
2016-04-17,Kg,20,25,22.5,Tomato
2015-11-10,Kg,50,60,55.0,Tomato
2015-11-06,Kg,40,50,45.0,Tomato
2017-02-15,Kg,15,20,17.5,Tomato
2015-10-17,Kg,12,16,14.0,Tomato
2020-12-30,Kg,45,50,47.5,Tomato
2020-03-28,Kg,65,70,67.5,Tomato
2020-07-01,Kg,15,20,17.5,Tomato
2014-07-07,Kg,14,18,16.0,Tomato
2013-11-24,Kg,50,60,55.0,Tomato
2016-09-13,Kg,45,55,50.0,Tomato
2019-08-26,Kg,70,80,75.0,Tomato
2018-01-10,Kg,30,35,32.5,Tomato
2019-07-02,Kg,35,40,37.5,Tomato
2019-06-01,Kg,65,70,67.5,Tomato
2020-08-06,Kg,40,45,42.5,Tomato
2020-10-03,Kg,45,50,47.5,Tomato
2020-12-11,Kg,45,52,48.5,Tomato
2016-05-20,Kg,70,80,75.0,Tomato
2016-12-10,Kg,35,40,37.5,Tomato
2020-02-13,Kg,10,15,12.5,Tomato
2014-04-11,Kg,40,45,42.5,Tomato
2016-08-07,Kg,70,75,72.5,Tomato
2018-09-28,Kg,35,43,39.0,Tomato
2017-12-06,Kg,70,75,72.5,Tomato
2018-01-04,Kg,25,30,27.5,Tomato
2014-10-28,Kg,35,40,37.5,Tomato
2020-10-17,Kg,60,70,65.0,Tomato
2020-08-18,Kg,45,50,47.5,Tomato
2014-02-10,Kg,25,30,27.5,Tomato
2020-11-06,Kg,42,50,46.0,Tomato
2020-02-06,Kg,15,20,17.5,Tomato
2017-10-18,Kg,55,60,57.5,Tomato
2015-07-10,Kg,50,60,55.0,Tomato
2015-08-20,Kg,35,40,37.5,Tomato
2016-07-29,Kg,85,90,87.5,Tomato
2015-04-03,Kg,30,35,32.5,Tomato
2018-09-06,Kg,40,45,42.5,Tomato
2019-01-19,Kg,20,25,22.5,Tomato
2015-10-23,Kg,50,60,55.0,Tomato
2016-08-10,Kg,50,60,55.0,Tomato
2015-09-11,Kg,25,30,27.5,Tomato
2018-08-19,Kg,20,25,22.5,Tomato
2016-01-28,Kg,15,20,17.5,Tomato
2019-01-23,Kg,18,22,20.0,Tomato
2020-11-05,Kg,50,55,52.5,Tomato
2018-10-12,Kg,60,70,65.0,Tomato
2016-09-29,Kg,45,55,50.0,Tomato
2014-10-22,Kg,55,60,57.5,Tomato
2016-03-22,Kg,40,50,45.0,Tomato
2017-06-22,Kg,30,35,32.5,Tomato
2017-05-11,Kg,35,40,37.5,Tomato
2017-04-23,Kg,30,35,32.5,Tomato
